# file...... load_node_149.csv
# date...... Mon Jul 15 03:23:20 2019
# user...... (null)
# host...... (null)
# target.... meter 6938
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power
2016-07-01 05:28:00 CDT,+584574
2016-07-01 05:29:00 CDT,+568370
2016-07-01 05:30:00 CDT,+541093
2016-07-01 05:31:00 CDT,+499058
2016-07-01 05:32:00 CDT,+525176
2016-07-01 05:33:00 CDT,+532616
2016-07-01 05:34:00 CDT,+547316
2016-07-01 05:35:00 CDT,+567381
2016-07-01 05:36:00 CDT,+641376
2016-07-01 05:37:00 CDT,+675689
2016-07-01 05:38:00 CDT,+710791
2016-07-01 05:39:00 CDT,+710572
2016-07-01 05:40:00 CDT,+702080
2016-07-01 05:41:00 CDT,+712990
2016-07-01 05:42:00 CDT,+685192
2016-07-01 05:43:00 CDT,+759360
2016-07-01 05:44:00 CDT,+781275
2016-07-01 05:45:00 CDT,+816764
2016-07-01 05:46:00 CDT,+874850
2016-07-01 05:47:00 CDT,+856629
2016-07-01 05:48:00 CDT,+764675
2016-07-01 05:49:00 CDT,+797593
2016-07-01 05:50:00 CDT,+755664
2016-07-01 05:51:00 CDT,+691343
2016-07-01 05:52:00 CDT,+763916
2016-07-01 05:53:00 CDT,+788663
2016-07-01 05:54:00 CDT,+667601
2016-07-01 05:55:00 CDT,+813992
2016-07-01 05:56:00 CDT,+758931
2016-07-01 05:57:00 CDT,+694772
2016-07-01 05:58:00 CDT,+823224
2016-07-01 05:59:00 CDT,+769834
2016-07-01 06:00:00 CDT,+709901
2016-07-01 06:01:00 CDT,+827040
2016-07-01 06:02:00 CDT,+741803
2016-07-01 06:03:00 CDT,+698740
2016-07-01 06:04:00 CDT,+770387
2016-07-01 06:05:00 CDT,+680293
2016-07-01 06:06:00 CDT,+681990
2016-07-01 06:07:00 CDT,+776280
2016-07-01 06:08:00 CDT,+658094
2016-07-01 06:09:00 CDT,+719498
2016-07-01 06:10:00 CDT,+730467
2016-07-01 06:11:00 CDT,+651093
2016-07-01 06:12:00 CDT,+759843
2016-07-01 06:13:00 CDT,+713622
2016-07-01 06:14:00 CDT,+638441
2016-07-01 06:15:00 CDT,+782523
2016-07-01 06:16:00 CDT,+727617
2016-07-01 06:17:00 CDT,+667000
2016-07-01 06:18:00 CDT,+671971
2016-07-01 06:19:00 CDT,+643371
2016-07-01 06:20:00 CDT,+624444
2016-07-01 06:21:00 CDT,+708659
2016-07-01 06:22:00 CDT,+738013
2016-07-01 06:23:00 CDT,+643327
2016-07-01 06:24:00 CDT,+628825
2016-07-01 06:25:00 CDT,+593167
2016-07-01 06:26:00 CDT,+584260
2016-07-01 06:27:00 CDT,+566673
2016-07-01 06:28:00 CDT,+556396
2016-07-01 06:29:00 CDT,+545805
2016-07-01 06:30:00 CDT,+1.18654e+06
2016-07-01 06:31:00 CDT,+1.1857e+06
2016-07-01 06:32:00 CDT,+1.14772e+06
2016-07-01 06:33:00 CDT,+1.1242e+06
2016-07-01 06:34:00 CDT,+1.12793e+06
2016-07-01 06:35:00 CDT,+945621
2016-07-01 06:36:00 CDT,+988411
2016-07-01 06:37:00 CDT,+964573
2016-07-01 06:38:00 CDT,+993320
2016-07-01 06:39:00 CDT,+980010
2016-07-01 06:40:00 CDT,+975469
2016-07-01 06:41:00 CDT,+939483
2016-07-01 06:42:00 CDT,+908309
2016-07-01 06:43:00 CDT,+933180
2016-07-01 06:44:00 CDT,+949014
2016-07-01 06:45:00 CDT,+960847
2016-07-01 06:46:00 CDT,+995787
2016-07-01 06:47:00 CDT,+984439
2016-07-01 06:48:00 CDT,+1.13408e+06
2016-07-01 06:49:00 CDT,+1.1213e+06
2016-07-01 06:50:00 CDT,+1.05068e+06
2016-07-01 06:51:00 CDT,+1.05025e+06
2016-07-01 06:52:00 CDT,+1.06494e+06
2016-07-01 06:53:00 CDT,+1.07741e+06
2016-07-01 06:54:00 CDT,+1.06691e+06
2016-07-01 06:55:00 CDT,+1.11804e+06
2016-07-01 06:56:00 CDT,+997085
2016-07-01 06:57:00 CDT,+952441
2016-07-01 06:58:00 CDT,+994319
2016-07-01 06:59:00 CDT,+1.02159e+06
2016-07-01 07:00:00 CDT,+914101
2016-07-01 07:01:00 CDT,+964416
2016-07-01 07:02:00 CDT,+1.03331e+06
2016-07-01 07:03:00 CDT,+990288
2016-07-01 07:04:00 CDT,+981801
2016-07-01 07:05:00 CDT,+1.00105e+06
2016-07-01 07:06:00 CDT,+1.02303e+06
2016-07-01 07:07:00 CDT,+978258
2016-07-01 07:08:00 CDT,+957414
2016-07-01 07:09:00 CDT,+941297
2016-07-01 07:10:00 CDT,+1.03769e+06
2016-07-01 07:11:00 CDT,+974463
2016-07-01 07:12:00 CDT,+923198
2016-07-01 07:13:00 CDT,+953784
2016-07-01 07:14:00 CDT,+1.09013e+06
2016-07-01 07:15:00 CDT,+593679
2016-07-01 07:16:00 CDT,+579194
2016-07-01 07:17:00 CDT,+550221
2016-07-01 07:18:00 CDT,+580771
2016-07-01 07:19:00 CDT,+512738
2016-07-01 07:20:00 CDT,+483994
2016-07-01 07:21:00 CDT,+433365
2016-07-01 07:22:00 CDT,+415363
2016-07-01 07:23:00 CDT,+403221
2016-07-01 07:24:00 CDT,+433329
2016-07-01 07:25:00 CDT,+473486
2016-07-01 07:26:00 CDT,+494855
2016-07-01 07:27:00 CDT,+494749
2016-07-01 07:28:00 CDT,+511726
2016-07-01 07:29:00 CDT,+508675
2016-07-01 07:30:00 CDT,+909012
2016-07-01 07:31:00 CDT,+872030
2016-07-01 07:32:00 CDT,+864863
2016-07-01 07:33:00 CDT,+833241
2016-07-01 07:34:00 CDT,+887097
2016-07-01 07:35:00 CDT,+842356
2016-07-01 07:36:00 CDT,+843207
2016-07-01 07:37:00 CDT,+781625
2016-07-01 07:38:00 CDT,+847926
2016-07-01 07:39:00 CDT,+844944
2016-07-01 07:40:00 CDT,+806593
2016-07-01 07:41:00 CDT,+787795
